Year Added,Number,Family,Subfamily,Tribe,Genus,Species,Code,Common Name,ITIS ID,Other Scientific Names,Native?,Nesting Behavior,Voltinism,Sociality,Foraging Behavior,Tongue Length,Other Notes,Sources
2015,27,Andrenidae,Andreninae,N/A,Andrena,angustifovea,anangustifovea,Mining Bee,752136,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,28,Andrenidae,Andreninae,N/A,Andrena,angustitarsata,anangustitarsata,Mining Bee,654149,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Thorp 2015a
2015,29,Andrenidae,Andreninae,N/A,Andrena,anisochlora,ananisochlora,Mining Bee,654150,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,30,Andrenidae,Andreninae,N/A,Andrena,annectens,anannectens,Mining Bee,654151,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Ribble 1968
2015,31,Andrenidae,Andreninae,N/A,Andrena,anograe,ananograe,Mining Bee,654152,.,.,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge and Thorp 2005
2015,32,Andrenidae,Andreninae,N/A,Andrena,antonitonis,anatonitonis,Mining Bee,752142,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Viereck and Cockerell 1914
2015,33,Andrenidae,Andreninae,N/A,Andrena,apacheorum,anapacheorum,Mining Bee,654153,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; VanDyk 2015
2015,34,Andrenidae,Andreninae,N/A,Andrena,apasta,anapasta,Mining Bee,654154,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,35,Andrenidae,Andreninae,N/A,Andrena,apiformis,anapiformis,Mining Bee,752145,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,36,Andrenidae,Andreninae,N/A,Andrena,aquila,anaquila,Mining Bee,654155,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1971
2015,37,Andrenidae,Andreninae,N/A,Andrena,arabis,anarabis,Mining Bee, 654156,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Hilty 2015; ITIS 2015; Mitchell 1960
2015,38,Andrenidae,Andreninae,N/A,Andrena,arctostaphylae,anarctostaphylae,Mining Bee,654157,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Ribble 1968
2015,39,Andrenidae,Andreninae,N/A,Andrena,ardis,anardis,Mining Bee,654158,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1967
2015,40,Andrenidae,Andreninae,N/A,Andrena,arenata,anarenata,Mining Bee,752147,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,41,Andrenidae,Andreninae,N/A,Andrena,arenicola,anarenicola,Mining Bee,654159,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,42,Andrenidae,Andreninae,N/A,Andrena,argemonis,anargemonis,Mining Bee,654160,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; VanDyk 2015
2015,43,Andrenidae,Andreninae,N/A,Andrena,argentiscopa,anargentiscopa,Mining Bee,752147,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,44,Andrenidae,Andreninae,N/A,Andrena,asteris,anasteris,Mining Bee,654162,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; Graenicher 1911; Grundel et al. 2011; Hilty 2015; ITIS 2015; LaBerge 1967; Mitchell 1960; VanDyk 2015
2015,45,Andrenidae,Andreninae,N/A,Andrena,asteroides,anasteroides,Mining Bee,654163,.,Y,Ground,.,Solitary,Specialist,Short,.,Ascher and Pickering 2015; BISON 2015; Hilty 2015; ITIS 2015; LaBerge 1967; Mitchell 1960
2015,46,Andrenidae,Andreninae,N/A,Andrena,astragali,anastragali,Death Camas Bee,654164,.,Y,Ground,.,Solitary,Specialist,Short,"Andrena astragali: not harmed by  the toxins of its host plant, Toxicoscordion",Ascher and Pickering 2015; BISON 2015; ITIS 2015; Tepedino 2003; VanDyk 2015; Viereck and Cockerell 1914; Wilson and Messinger Carril 2016
2015,47,Andrenidae,Andreninae,N/A,Andrena,atlantica,anatlantica,Mining Bee,654165,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Deyrup et al. 2002; ITIS 2015; LaBerge 1971; Mitchell 1960; LaBerge 1971
2015,48,Andrenidae,Andreninae,N/A,Andrena,atrata,anatrata,Mining Bee,752162,.,.,Ground,Bivoltine,Solitary,Generalist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,49,Andrenidae,Andreninae,N/A,Andrena,atypica,anatypica,Mining Bee,654166,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,50,Andrenidae,Andreninae,N/A,Andrena,auricoma,anauricoma,Mining Bee,654167,.,Y,Ground,.,Solitary,Generalist,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; Minckley 2015; Thorp 2015a; VanDyk 2015
2015,51,Andrenidae,Andreninae,N/A,Andrena,aurihirta,anaurihirta,Mining Bee,654168,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2017,52,Andrenidae,Andreninae,N/A,Andrena,auripes,anauripes,Mining Bee,654169,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2017; ITIS 2017; LaBerge 1967
2017,53,Andrenidae,Andreninae,N/A,Andrena,autumnalis,anautumnalis,Mining Bee,752167,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2017; ITIS 2017
2015,54,Andrenidae,Andreninae,N/A,Andrena,avulsa,anavulsa,Mining Bee,654170,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,55,Andrenidae,Andreninae,N/A,Andrena,baeriae,anbaeriae,Mining Bee,654171,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,56,Andrenidae,Andreninae,N/A,Andrena,balsamhorizae,anbalsamhorizae,Mojave Gypsy Bee,654172,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015 Idaho Department of Fish and Game 2015; ITIS 2015; Griswold et al. 2006
2015,57,Andrenidae,Andreninae,N/A,Andrena,banksi,anbanksi,Mining Bee,654173,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Hilty 2015; ITIS 2015; Mitchell 1960; VanDyk 2015
2015,58,Andrenidae,Andreninae,N/A,Andrena,barbara,anbarbara,Mining Bee,654174,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Hilty 2015; ITIS 2015
2015,59,Andrenidae,Andreninae,N/A,Andrena,barberi,anbarberi,Mining Bee,654175,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1967; VanDyk 2015
2015,60,Andrenidae,Andreninae,N/A,Andrena,barbilabris,anbarbilabris,Mining Bee,654176,.,Y,Ground,Plastic,Solitary,Generalist,Short,.,Ascher and Pickering 2015; BISON 2015; BWARS 2014; Danforth 2009; Grundel et al. 2011; Hilty 2015; ITIS 2015; VanDyk 2015; Wilson and Messinger Carril 2016
2015,61,Andrenidae,Andreninae,N/A,Andrena,beameri,anbeameri,Mining Bee,654177,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Hilty 2015; ITIS 2015; LaBerge 1967
